Unique ID,CG Number,E01,E12,E14,E15,E16,E17,E18,E20,A82,A84,A95,A131,A186,A377,A384,A398,avg_E,avg_A,log2FC,submitted_id,FBgn_ID
INC088B10,CG7815,1.35226,1.14102,1.4551,1.67399,1.41345,1.26701,1.63591,1.03859,1.92167,1,1.78935,1.59338,1.4538,1.9905,1.17945,1.54492,1.37216625,1.55913375,0.184289407,CG7815,FBgn0036497
INC118H04,CG7816,1.16338,1.40966,1.04367,1.08887,1.24755,1,1.27264,1.16765,1.15321,1.02166,1.31444,1.09826,1.02188,1.23743,1.4575,1.19083,1.1741775,1.18690125,0.015549391,CG7816,FBgn0039714
INC151D04,CG7823,1.2553,1.37279,1.3377,1.22901,1.22688,1.42761,1.12592,1.15434,1.53338,1.03298,1.00759,1,1.57665,1.19712,1.52516,1.42428,1.26619375,1.287145,0.023676406,CG7823,FBgn0036921
INC025B01,CG7826,1.35529,1.24203,1.37846,1.3277,1.23237,1.49918,1.37246,1.41088,1.36928,1.09354,1,1.43143,1.15561,1.16845,1.12843,1.03794,1.35229625,1.173085,-0.205103687,CG7826,FBgn0259168
INC088E03,CG7830,1.66867,1.68804,1.28768,1.15588,1.50831,1.54558,1.15885,1.6784,1.78573,1.30997,1.38129,1.15935,1.4131,1.09831,1,1.43063,1.46142625,1.3222975,-0.144330225,CG7830,FBgn0032015
INC119C08,CG7832,2.0404,1.59523,1.67425,1.37796,2.88671,2.63652,1,1.11515,1.34516,1.30861,2.31647,1.28321,1.90474,1.1922,1.75596,1.97086,1.7907775,1.63465125,-0.131603225,CG7832,FBgn0086686
INC020H04,CG7835,1,1.35672,1.52322,1.26891,1.0158,1.29854,1.38506,1.06388,1.32702,1.53703,1.30172,1.15315,1.48099,1.35711,1.44309,1.39459,1.23901625,1.3743375,0.149541226,CG7835,FBgn0259168
INC035H01,CG7839,1.29951,1,1.74573,2.17714,1.37383,1.44027,1.64718,1.87348,2.08787,1.98116,1.41079,1.995,1.67473,1.91763,1.88607,2.1687,1.5696425,1.89024375,0.268136274,CG7839,FBgn0036124
INC142H08,CG7841,1.97564,2.98471,3.13849,3.23313,1.61358,1.51268,1.50823,1,1.32098,1.35741,1.63679,1.71902,1.7854,1.45738,2.03604,1.39201,2.1208075,1.58812875,-0.4172858,CG7841,FBgn0036502
INC035H07,CG7842,2.1178,2.45062,2.73592,2.91453,1.78116,1.82394,2.31141,2.50498,2.0397,1.27451,1,2.71539,1.27372,2.20787,2.16492,1.754,2.330045,1.80376375,-0.369347425,CG7842,FBgn0036691
INC052C04,CG7843,1.04045,1.29263,1.13208,1.1585,1.31204,1.30111,1.10528,1.24421,1.21455,1,1.34224,1.41034,1.10245,1.09591,1.21258,1.36607,1.1982875,1.2180175,0.023560772,CG7843,FBgn0033062
